fcode,year,month,obs_dengue_cases,population,area,ws_avg,ws_min,ws_max,t2m_avg,t2m_min,t2m_max,rh_avg,rh_min,rh_max,tp_accum,l1_code,l1_name
TTYTKV_KIEN_LUONG_KG,2019,12,4,87746,431.21999999999997,2.4301541774193556,1.2949713841935482,3.7057880322580643,299.06320548387095,295.3092322580646,303.38075451612895,73.20292887096774,54.5064749032258,90.57246164516128,0.009329970281400002,91,
TTYTKV_KIEN_LUONG_KG,2020,1,3,87746,431.21999999999997,2.7109623870967736,1.682070555806452,4.038481232258064,299.96517419354836,296.01078580645157,304.99850838709676,70.66145790322582,47.94622954838709,89.5213656451613,0.007351505224799999,91,
TTYTKV_KIEN_LUONG_KG,2020,2,0,87746,431.21999999999997,3.4201486896551723,2.1609518879310343,4.895299086206896,300.20761,296.2117293103448,305.52438827586207,66.95837406896551,44.24064134482758,86.3435498275862,0.008315243111760002,91,
TTYTKV_KIEN_LUONG_KG,2020,3,3,87746,431.21999999999997,2.634322403225806,1.3734176467741934,3.858911451612903,301.6067390322581,297.53368709677426,306.92035806451605,70.26650903225806,44.54264493548387,93.26286741935485,0.0101043971073,91,
TTYTKV_KIEN_LUONG_KG,2020,4,3,87746,431.21999999999997,2.604246523333333,1.2542773883333334,4.16612887,302.0087296666667,298.51482766666663,306.81010166666675,73.11352256666666,50.14248180000001,91.51272929999999,0.10988955303899998,91,
TTYTKV_KIEN_LUONG_KG,2020,5,0,87746,431.21999999999997,1.6746248193548388,0.648712334516129,2.97504474516129,302.75097709677414,299.35768290322585,307.46194677419356,75.2329689032258,53.65412525806451,94.02737793548387,0.19477010415000004,91,
TTYTKV_KIEN_LUONG_KG,2020,6,2,87746,431.21999999999997,1.8345164133333332,0.8974349253333335,3.1495459333333335,300.042194,297.98181099999994,303.6051833333333,87.70072573333333,72.67813000000001,96.36553416666666,0.5058047453000001,91,
TTYTKV_KIEN_LUONG_KG,2020,7,2,87746,431.21999999999997,1.7970783758064517,0.8502435670967743,3.1966771064516126,299.89831225806444,297.5690325806451,303.5031587096774,86.95077119354839,71.4900523870968,96.8612687096774,0.4013530168,91,
TTYTKV_KIEN_LUONG_KG,2020,8,2,87746,431.21999999999997,2.3917718225806452,1.33612468,3.9969282451612904,300.1151129032258,297.8667441935484,303.6592287096774,86.5778229032258,70.97318461290324,96.48300029032261,0.32036948400000004,91,
TTYTKV_KIEN_LUONG_KG,2020,9,5,87746,431.21999999999997,2.0977084733333333,1.0274223306666666,3.5037946133333335,299.7490666666667,297.6364936666667,303.384427,87.55310883333333,72.31880136666665,96.5900819,0.6311007664,91,
TTYTKV_KIEN_LUONG_KG,2020,10,2,87746,431.21999999999997,2.308498974193548,1.3078475467741932,3.712349545161291,299.06530741935484,297.3156919354839,302.2569567741935,89.47710790322583,75.70845735483871,96.33202661290323,0.5012347301000001,91,
TTYTKV_KIEN_LUONG_KG,2020,11,7,87746,431.21999999999997,1.8824646126666669,0.8738947923333333,3.2482883833333327,299.50427300000007,296.6991706666667,303.25826566666666,83.22155423333335,66.03323616666665,95.62712156666667,0.18267058333000002,91,
TTYTKV_KIEN_LUONG_KG,2020,12,3,87746,431.21999999999997,2.3650591612903225,1.1802615361290323,3.7385013258064514,298.59982677419356,295.8746735483871,302.1893661290323,80.53897316129031,65.9254984516129,92.3702984516129,0.13919638924285999,91,
TTYTKV_KIEN_LUONG_KG,2021,1,2,87746,431.21999999999997,2.1421501903225804,1.070935598064516,3.2109947193548396,298.06030774193545,294.4485658064516,302.18953322580654,77.1542303548387,58.20853367741936,94.50670267741937,0.0349251808245,91,
TTYTKV_KIEN_LUONG_KG,2021,2,1,87746,431.21999999999997,2.2374720357142857,1.2092368128571427,3.353364982142857,298.84762392857147,294.6405128571428,303.6903671428571,73.06705010714286,49.988534142857134,93.68194525,0.012517275062,91,
TTYTKV_KIEN_LUONG_KG,2021,3,1,87746,431.21999999999997,2.801733990322581,1.4712436004516132,4.105248058064516,301.1146235483871,297.0006941935484,306.4799867741935,69.94266748387096,45.03313722580645,92.21766503225805,0.0235456514099,91,
TTYTKV_KIEN_LUONG_KG,2021,4,0,87746,431.21999999999997,1.8285155966666662,0.7701644546666667,3.235759213333333,300.7797120000001,297.76276899999993,305.32851800000003,80.3650656,59.132714533333335,95.28486300000002,0.2999403850379999,91,
TTYTKV_KIEN_LUONG_KG,2021,5,2,87746,431.21999999999997,1.9768271064516132,0.8978695719354839,3.3445584548387104,300.55786032258067,297.9831216129033,304.1995819354838,86.00618587096776,70.47536616129032,96.91681948387095,0.3749650434,91,
TTYTKV_KIEN_LUONG_KG,2021,6,2,87746,431.21999999999997,2.6118793300000007,1.5842387266666667,4.0695189066666675,300.35378866666656,298.09988266666664,303.7496796666667,85.39163246666666,70.58726093333333,95.80937256666667,0.2237741149,91,
TTYTKV_KIEN_LUONG_KG,2021,7,5,87746,431.21999999999997,2.6689218903225815,1.6002649806451612,4.195514548387097,300.03993935483874,297.9709516129032,303.31291064516125,86.72586009677421,73.26880016129034,95.39760758064519,0.3710603749399999,91,
TTYTKV_KIEN_LUONG_KG,2021,8,2,87746,431.21999999999997,2.3979725967741934,1.2999155225806454,3.885830696774194,299.92100032258065,297.73607258064516,303.3517493548387,86.31961987096773,72.30068745161289,95.4414428387097,0.39231468049999996,91,
